"
Vitesse
","
AZ"
Starting XI
1,E. Room,[],1,S. Rochet,[]
3,M. van der Werff,[],2,M. Johansson,[]
5,K. Leerdam,"[('yellow-card', ""39'"")]",3,R. van Eijden,"[('yellow-card', ""41'"")]"
6,A. Kruiswijk,[],23,D. Luckassen,[]
37,G. Kashia,[],5,R. Haps,"[('yellow-card', ""51'"")]"
18,M. Nakamba,[],6,B. Rienstra,[]
10,A. Tighadouini,[],20,M. Seuntjens,"[('sub-out', ""46'"")]"
34,L. Baker,"[('yellow-card', ""61'"")]",30,S. Wuytens,[]
11,Nathan,"[('sub-out', ""78'"")]",9,W. Weghorst,"[('yellow-card', ""45'+""), ('sub-out', ""46'"")]"
7,M. Rashica,"[('sub-out', ""71'"")]",7,A. Jahanbakhsh,[]
13,R. van Wolfswinkel,[],19,D. dos Santos,"[('sub-out', ""54'"")]"
