"
Torino
","
Atalanta
"
Starting XI
21,J. Hart,[],1,E. Berisha,[]
29,L. De Silvestri,[],24,A. Conti,[]
23,A. Barreca,[],6,E. Zukanović,[]
24,E. Moretti,"[('yellow-card', ""68'"")]",3,Rafael Tolói,[]
13,L. Rossettini,[],13,M. Caldara,"[('yellow-card', ""63'"")]"
22,J. Obi,"[('sub-out', ""30'"")]",37,L. Spinazzola,[]
15,M. Benassi,[],27,J. Kurtič,[]
18,M. Valdifiori,"[('sub-out', ""73'"")]",10,A. Gómez,"[('sub-out', ""85'"")]"
9,A. Belotti,[],11,R. Freuler,"[('yellow-card', ""2'"")]"
14,Iago Falqué,[],88,A. Grassi,"[('sub-out', ""46'"")]"
10,A. Ljajić,[],29,A. Petagna,"[('sub-out', ""87'"")]"
